mean_x,std_x,mean_y,std_y,mean_z,std_z,Activity
-3.363,2.962,-7.838,2.911,-3.623,3.716,hand_wash
-5.478,0.9521,-6.647,2.321,0.9364,4.441,hand_wash
-4.314,1.177,-6.429,2.264,-0.2102,5.256,hand_wash
-3.379,2.275,-7.551,2.687,-3.519,4.576,hand_wash
-3.244,3.081,-6.174,2.999,-6.416,3.421,hand_wash
-3.411,3.983,-6.81,2.276,-5.813,4.57,hand_wash
-4.101,1.582,-5.197,3.0,-7.024,3.507,hand_wash
-3.48,4.854,-6.259,2.197,-6.139,4.747,hand_wash
-4.628,1.855,-5.245,3.193,2.167,5.777,hand_wash
-4.198,2.129,-6.15,4.012,0.8259,4.657,hand_wash
-4.918,1.208,-8.11,3.323,-2.748,2.887,hand_wash
-3.997,2.327,-7.84,2.827,-0.2036,3.415,hand_wash
-3.414,1.833,-7.889,3.198,-0.476,4.655,hand_wash
-3.513,1.658,-7.619,2.951,1.469,3.983,hand_wash
-3.372,2.564,-8.247,3.064,-1.865,3.065,hand_wash
-4.216,1.692,-6.611,3.769,2.458,5.422,hand_wash
-3.012,1.622,-8.508,2.489,-1.978,3.43,hand_wash
-3.281,1.184,-6.886,3.069,3.065,3.391,hand_wash
-5.256,1.12,-7.315,1.94,-1.357,3.732,hand_wash
-5.061,1.052,-4.168,3.997,4.027,5.117,hand_wash
-2.936,2.321,-6.82,3.108,-3.994,5.375,hand_wash
-2.872,3.144,-5.565,2.971,-7.644,3.22,hand_wash
-3.322,3.284,-5.122,3.481,-7.594,4.373,hand_wash
-3.688,2.797,-2.607,4.204,-9.156,4.213,hand_wash
-3.48,3.087,-5.355,3.812,-7.702,4.036,hand_wash
-5.171,5.032,-4.739,4.935,3.812,3.897,hand_wash
-4.944,2.094,-5.9,4.565,1.376,3.975,hand_wash
-5.099,1.269,-7.41,2.768,-3.097,2.981,hand_wash
-4.415,2.662,-7.96,2.045,-0.8855,2.966,hand_wash
-3.119,1.567,-8.108,2.548,-0.08663,4.821,hand_wash
-3.244,2.08,-7.131,3.468,3.301,4.021,hand_wash
-2.281,2.124,-8.606,3.236,-1.762,3.754,hand_wash
-1.864,1.565,-6.855,3.561,2.962,5.444,hand_wash
-1.972,1.189,-8.322,2.13,0.213,4.058,hand_wash
-3.084,1.371,-4.209,4.512,5.08,4.333,hand_wash
-4.177,1.778,-2.743,4.988,5.096,4.767,hand_wash
-5.414,1.568,-6.841,2.424,-1.136,4.158,hand_wash
-4.581,2.227,-7.74,1.515,-2.574,3.021,hand_wash
-4.129,1.79,-7.847,3.037,-1.043,2.338,hand_wash
-4.139,1.757,-6.691,3.187,2.236,5.173,hand_wash
-3.502,2.356,-8.233,2.726,-1.899,4.059,hand_wash
-2.877,2.214,-8.648,2.775,-2.525,2.762,hand_wash
-2.971,1.652,-7.143,3.794,3.399,4.142,hand_wash
-2.962,3.011,-8.754,5.198,-2.831,4.678,hand_wash
-2.766,2.931,-8.519,3.947,-2.405,4.229,hand_wash
-3.293,2.255,-6.373,3.281,4.377,4.148,hand_wash
-4.603,1.5,-6.676,1.773,-3.623,3.921,hand_wash
-4.924,1.836,-6.505,1.569,-3.089,3.936,hand_wash
-4.992,1.672,-6.936,2.662,2.931,2.532,hand_wash
-2.801,3.967,-2.22,8.927,7.436,3.291,not_hand_wash
-9.753,3.169,-4.352,2.004,1.045,0.9675,not_hand_wash
-10.64,2.648,-2.96,0.8646,0.3246,1.78,not_hand_wash
-11.37,1.836,-3.555,0.9955,0.5705,1.164,not_hand_wash
-10.83,2.67,-4.396,1.569,0.8794,1.556,not_hand_wash
-10.21,2.256,-4.179,1.511,0.825,1.445,not_hand_wash
-10.88,1.81,-2.949,1.007,0.8626,1.357,not_hand_wash
-10.17,1.344,-2.394,0.3757,2.055,0.796,not_hand_wash
-8.263,2.401,-3.572,1.666,1.431,0.9441,not_hand_wash
-9.889,1.97,-2.702,0.4771,1.203,1.339,not_hand_wash
-9.146,1.203,-2.079,0.6206,1.233,1.359,not_hand_wash
-9.271,1.182,-2.521,0.6312,1.483,1.135,not_hand_wash
-9.82,2.271,-2.606,0.8556,1.061,1.413,not_hand_wash
-9.264,2.221,-2.279,0.5908,1.403,1.002,not_hand_wash
-9.952,2.291,-2.052,1.063,1.153,0.6904,not_hand_wash
-9.855,2.83,-2.184,0.9257,1.109,0.652,not_hand_wash
-9.327,2.155,-1.902,0.7894,0.7765,0.7938,not_hand_wash
-10.3,2.296,-2.095,0.6897,1.067,1.093,not_hand_wash
-10.23,2.952,-1.608,1.782,0.16,2.026,not_hand_wash
-10.94,2.844,-2.323,1.342,0.9036,1.554,not_hand_wash
-10.8,2.854,-3.151,3.387,-0.08643,1.858,not_hand_wash
-9.057,1.727,-3.864,2.394,-0.8293,1.568,not_hand_wash
-10.36,3.344,-2.742,1.359,-0.2949,1.119,not_hand_wash
-9.478,2.441,-1.934,1.025,0.724,1.425,not_hand_wash
-10.39,2.853,-2.224,1.115,1.096,1.028,not_hand_wash
-9.967,3.621,-2.73,1.184,0.8934,0.8168,not_hand_wash
-9.75,2.111,-2.192,0.6573,0.6457,1.143,not_hand_wash
-11.22,2.901,-1.92,1.204,-0.06735,1.45,not_hand_wash
-11.36,2.545,-2.337,0.7272,0.4759,1.44,not_hand_wash
-10.58,2.546,-2.719,1.052,1.324,1.475,not_hand_wash
-11.47,2.203,-3.275,1.64,0.8008,1.215,not_hand_wash
-10.49,1.84,-2.732,0.717,1.06,1.286,not_hand_wash
-10.03,3.583,-2.357,0.7935,0.9949,1.063,not_hand_wash
-8.476,1.815,-2.927,3.229,1.875,2.396,not_hand_wash
-10.44,2.336,-2.242,0.7975,1.037,1.637,not_hand_wash
-8.951,2.151,-2.416,1.138,1.462,0.8785,not_hand_wash
