mean_x,std_x,mean_y,std_y,mean_z,std_z,Activity
2.424,2.52,-3.083,2.18,7.27,3.171,not_hand_wash
0.5915,0.0548,-2.679,0.07021,8.935,0.05782,not_hand_wash
4.618,1.696,-3.59,1.674,6.753,1.444,not_hand_wash
5.66,0.1593,-5.735,1.043,3.726,2.243,not_hand_wash
0.9302,1.046,-7.761,0.8472,4.415,1.176,not_hand_wash
0.5539,0.08963,-7.722,0.1566,4.84,0.4795,not_hand_wash
0.7415,0.2447,-2.611,0.9313,8.848,0.598,not_hand_wash
0.7274,0.04923,-1.919,0.0496,9.164,0.05195,not_hand_wash
0.7231,0.04957,-1.9,0.04404,9.169,0.04323,not_hand_wash
0.8307,0.3576,-1.985,0.4382,9.14,0.2475,not_hand_wash
0.6886,0.4336,-2.485,0.476,8.999,0.4038,not_hand_wash
0.6218,0.05211,-2.669,0.05145,8.938,0.05456,not_hand_wash
0.5576,0.4426,-3.581,1.659,8.405,0.9473,not_hand_wash
0.3571,0.04481,-5.923,0.05276,6.955,0.05617,not_hand_wash
0.3478,0.04467,-5.981,0.05771,6.903,0.061,not_hand_wash
0.3479,0.05204,-6.032,0.07565,6.849,0.06356,not_hand_wash
0.3318,0.1744,-5.864,0.8256,7.013,0.6265,not_hand_wash
0.7035,0.188,-2.52,0.5824,8.937,0.4675,not_hand_wash
0.6368,0.05013,-2.533,0.04753,8.982,0.05455,not_hand_wash
-3.655,2.365,-7.066,2.477,-4.823,3.436,hand_wash
-3.267,2.925,-6.188,3.248,-5.282,4.722,hand_wash
-3.901,3.288,-5.01,3.184,-5.065,6.2,hand_wash
-5.696,1.509,-5.72,2.737,-1.57,4.892,hand_wash
-5.027,1.108,-4.961,2.826,0.6575,5.79,hand_wash
1.109,1.339,2.161,1.939,9.036,2.11,not_hand_wash
0.3865,5.236,-3.343,2.54,6.799,2.19,not_hand_wash
-6.718,4.366,-0.0125,1.419,5.204,3.697,not_hand_wash
-10.2,3.773,-0.3486,1.245,0.8676,2.229,not_hand_wash
-10.43,2.484,-0.1607,1.375,-0.05921,2.221,not_hand_wash
-9.056,3.703,-0.1677,1.911,1.545,3.134,not_hand_wash
-9.057,3.557,-1.341,2.616,2.05,2.957,not_hand_wash
-9.35,3.038,-1.132,2.061,1.839,2.17,not_hand_wash
-10.27,2.926,0.5967,2.067,-0.1005,2.217,not_hand_wash
-10.43,2.183,-0.3154,1.309,-0.3499,1.606,not_hand_wash
-10.02,2.396,-0.8832,1.635,0.08912,2.013,not_hand_wash
-10.14,2.702,-0.6829,1.285,-0.2584,1.596,not_hand_wash
-3.722,7.012,-1.999,4.526,2.898,3.757,not_hand_wash
-10.02,3.654,-0.1683,1.317,-0.1089,1.983,not_hand_wash
-10.21,2.679,-1.488,1.464,0.02866,1.612,not_hand_wash
-10.54,2.58,-0.6247,1.554,-0.2034,1.167,not_hand_wash
-11.08,2.364,-0.5856,1.271,-0.5008,1.296,not_hand_wash
-10.92,2.469,1.001,1.621,-0.1531,1.702,not_hand_wash
-10.73,2.481,1.807,1.357,-0.3285,1.474,not_hand_wash
-10.68,2.326,-0.1153,1.206,-0.8652,1.462,not_hand_wash
-11.0,2.24,-0.005964,1.454,-0.5139,2.011,not_hand_wash
-6.593,4.563,1.445,1.92,4.505,4.682,not_hand_wash
-10.97,2.454,0.4764,1.88,-0.4625,1.354,not_hand_wash
-11.37,1.992,-0.4122,1.421,-0.9292,1.377,not_hand_wash
-11.41,2.254,-0.2685,1.415,-0.8155,1.686,not_hand_wash
-11.09,2.325,0.08336,1.445,-0.9983,1.373,not_hand_wash
-11.19,2.259,-0.1812,1.126,-0.7373,1.42,not_hand_wash
-10.95,2.36,-0.06891,1.335,-1.134,1.291,not_hand_wash
-10.8,2.149,0.3771,1.39,-1.422,1.554,not_hand_wash
-10.85,2.124,-0.2634,1.235,-1.296,1.466,not_hand_wash
-10.82,2.067,-0.269,1.084,-0.9034,1.448,not_hand_wash
-11.66,2.4,-0.1651,1.519,-1.129,1.586,not_hand_wash
-9.21,4.542,-0.7545,2.216,1.397,4.097,not_hand_wash
-5.142,1.223,-6.113,2.775,0.2231,4.365,hand_wash
-5.358,1.247,-6.943,1.884,-1.531,3.139,hand_wash
-5.541,1.362,-6.299,2.038,0.2766,3.841,hand_wash
-4.806,1.21,-5.977,2.753,0.0126,4.939,hand_wash
-5.357,1.364,-6.465,1.865,-1.095,3.921,hand_wash
-5.16,1.498,-4.9,3.251,1.298,5.166,hand_wash
-3.442,0.6172,-2.352,2.34,8.192,1.161,not_hand_wash
-4.903,1.222,-4.418,1.169,6.48,1.093,not_hand_wash
-5.189,0.1941,-4.895,0.3857,6.036,0.2835,not_hand_wash
-5.241,0.2206,-4.837,0.4064,6.009,0.2617,not_hand_wash
-5.335,0.655,-5.237,1.032,5.429,0.7828,not_hand_wash
-5.873,1.546,-4.345,1.112,5.665,1.296,not_hand_wash
-2.485,0.6006,-1.298,0.7097,9.027,0.5452,not_hand_wash
-1.942,3.194,-3.542,1.711,7.959,1.626,not_hand_wash
-2.811,0.09258,-4.202,0.1287,7.847,0.1099,not_hand_wash
-2.763,0.08495,-4.271,0.09128,7.817,0.0962,not_hand_wash
-2.54,0.4522,-4.365,0.8491,7.81,0.6234,not_hand_wash
